Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.718194,0.58,0.0130536,-2.8965e-13,-2.86638e-13,1.39775,-4.67087,5.41969,-2.15608,0.380423,0.0253449,-0.00799725,-0.000177591,1.28164,-4.43566,5.25302,-2.11791,1.37639,0.0780037,0.00259846,-0.000546568,8.68191,-28.9921,33.6241,-13.372,0,0,0,0,0,0,0,0
0.703831,0.6,0.0130536,1.24816e-13,1.23922e-13,1.54213,-5.25853,6.22609,-2.52743,0.4,-7.98666e-14,-0.0084088,4.42786e-14,-1.61307,5.33314,-6.19513,2.48254,1.5,0.082018,-7.82515e-13,-0.000574696,9.54665,-32.5839,38.5991,-15.6741,0,0,0,0,0,0,0,0
0.718194,0.62,0.0130536,-5.38804e-14,-5.38381e-14,1.39775,-4.67087,5.41969,-2.15608,0.380423,-0.0253449,-0.00799725,0.000177591,-4.06623,13.4526,-15.514,6.14642,1.62361,0.0780037,-0.00259846,-0.000546568,7.77714,-26.0623,30.2901,-12.063,0,0,0,0,0,0,0,0
0.703831,0.64,0.0130536,2.29206e-14,2.34882e-14,1.54213,-5.25853,6.22609,-2.52743,0.323607,-0.048209,-0.00680286,0.000337798,-6.91638,23.4669,-27.7,11.2214,1.73511,0.0663539,-0.00494257,-0.000464939,6.77527,-23.2262,27.5859,-11.2214,0,0,0,0,0,0,0,0
0.718194,0.66,0.0130536,-1.04172e-14,-1.03512e-14,1.39775,-4.67087,5.41969,-2.15608,0.235114,-0.0663539,-0.00494257,0.000464939,-7.86094,26.2024,-30.3551,12.063,1.82361,0.048209,-0.00680286,-0.000337798,3.90177,-13.1776,15.3863,-6.14642,0,0,0,0,0,0,0,0
0.703831,0.68,0.0130536,4.34804e-15,3.43086e-15,1.54213,-5.25853,6.22609,-2.52743,0.123607,-0.0780037,-0.00259846,0.000546568,-9.57787,32.6372,-38.6243,15.6741,1.88042,0.0253449,-0.00799725,-0.000177591,1.41596,-4.99686,6.03586,-2.48254,0,0,0,0,0,0,0,0
0.718194,0.7,0.0130536,-1.99408e-15,-8.79708e-16,1.39775,-4.67087,5.41969,-2.15608,9.30979e-16,-0.082018,-3.29135e-16,0.000574696,-8.65303,28.9438,-33.6017,13.372,1.9,-2.0942e-14,-0.0084088,1.17294e-14,-1.46395,4.74048,-5.3945,2.11791,0,0,0,0,0,0,0,0
0.703831,0.72,0.0130536,1.01078e-15,4.98501e-16,1.54213,-5.25853,6.22609,-2.52743,-0.123607,-0.0780037,0.00259846,0.000546568,-8.58094,29.3411,-34.7955,14.1398,1.88042,-0.0253449,-0.00799725,0.000177591,-4.4842,15.1411,-17.8197,7.2046,0,0,0,0,0,0,0,0
0.718194,0.74,0.0130536,-1.98551e-16,-1.46618e-16,1.39775,-4.67087,5.41969,-2.15608,-0.235114,-0.0663539,0.00494257,0.000464939,-6.13996,20.6297,-24.0135,9.57328,1.82361,-0.048209,-0.00680286,0.000337798,-6.27048,20.8479,-24.1148,9.57328,0,0,0,0,0,0,0,0
0.703831,0.76,0.0130536,-3.45718e-17,-1.52483e-15,1.54213,-5.25853,6.22609,-2.52743,-0.323607,-0.048209,0.00680286,0.000337798,-4.30638,14.8377,-17.676,7.2046,1.73511,-0.0663539,-0.00494257,0.000464939,-8.67154,29.4957,-34.8687,14.1398,0,0,0,0,0,0,0,0
0.718194,0.78,0.0130536,-2.48188e-17,2.93236e-17,1.39775,-4.67087,5.41969,-2.15608,-0.380423,-0.0253449,0.00799725,0.000177591,-1.28164,4.43566,-5.25302,2.11791,1.62361,-0.0780037,-0.00259846,0.000546568,-8.68191,28.9921,-33.6241,13.372,0,0,0,0,0,0,0,0
0.703831,0.8,0.0130536,-1.0873e-16,1.46618e-16,1.54213,-5.25853,6.22609,-2.52743,-0.4,1.19998e-15,0.0084088,-3.75342e-15,1.61307,-5.33314,6.19513,-2.48254,1.5,-0.082018,3.81979e-16,0.000574696,-9.54665,32.5839,-38.5991,15.6741,0,0,0,0,0,0,0,0
